,measure,Date_day,value,site_id,latitude,longitude
63,Relative Humidity,2019-11-18,46.69875,1001,-37.800793,144.966492
64,Particulate Air Pollution (2.5 µm),2019-11-18,6.408333333333334,1002,-37.800524,144.964122
65,Particulate Air Pollution (10 µm),2019-11-18,26.47083333333333,1002,-37.800524,144.964122
66,Ambient Air Temperature,2019-11-18,18.217916666666667,1002,-37.800524,144.964122
67,Relative Humidity,2019-11-18,52.21041666666667,1002,-37.800524,144.964122
68,Particulate Air Pollution (2.5 µm),2019-11-18,5.491666666666667,1003,-37.8023,144.960923
69,Particulate Air Pollution (10 µm),2019-11-18,23.770833333333332,1003,-37.8023,144.960923
70,Ambient Air Temperature,2019-11-18,18.049583333333334,1003,-37.8023,144.960923
71,Relative Humidity,2019-11-18,53.38458333333333,1003,-37.8023,144.960923
72,Particulate Air Pollution (2.5 µm),2019-11-18,6.145833333333333,1004,-37.800575,144.964635
73,Particulate Air Pollution (10 µm),2019-11-18,25.608333333333334,1004,-37.800575,144.964635
74,Ambient Air Temperature,2019-11-18,17.80875,1004,-37.800575,144.964635
75,Relative Humidity,2019-11-18,51.11416666666667,1004,-37.800575,144.964635
76,Particulate Air Pollution (2.5 µm),2019-11-18,4.9375,1005,-37.800629,144.965052
77,Particulate Air Pollution (10 µm),2019-11-18,25.570833333333336,1005,-37.800629,144.965052
78,Ambient Air Temperature,2019-11-18,17.395833333333332,1005,-37.800629,144.965052
79,Relative Humidity,2019-11-18,51.72208333333333,1005,-37.800629,144.965052
80,Particulate Air Pollution (2.5 µm),2019-11-19,7.333333333333333,1001,-37.800793,144.966492
81,Particulate Air Pollution (10 µm),2019-11-19,29.729166666666668,1001,-37.800793,144.966492
82,Ambient Air Temperature,2019-11-19,16.797083333333333,1001,-37.800793,144.966492
83,Relative Humidity,2019-11-19,60.531666666666666,1001,-37.800793,144.966492
84,Particulate Air Pollution (2.5 µm),2019-11-19,7.3875,1002,-37.800524,144.964122
85,Particulate Air Pollution (10 µm),2019-11-19,30.129166666666666,1002,-37.800524,144.964122
86,Ambient Air Temperature,2019-11-19,16.103333333333335,1002,-37.800524,144.964122
87,Relative Humidity,2019-11-19,67.44791666666667,1002,-37.800524,144.964122
88,Particulate Air Pollution (2.5 µm),2019-11-19,6.641666666666667,1003,-37.8023,144.960923
89,Particulate Air Pollution (10 µm),2019-11-19,27.366666666666664,1003,-37.8023,144.960923
90,Ambient Air Temperature,2019-11-19,15.707500000000001,1003,-37.8023,144.960923
91,Relative Humidity,2019-11-19,70.10000000000001,1003,-37.8023,144.960923
92,Particulate Air Pollution (2.5 µm),2019-11-19,7.304166666666667,1004,-37.800575,144.964635
93,Particulate Air Pollution (10 µm),2019-11-19,29.429166666666664,1004,-37.800575,144.964635
94,Ambient Air Temperature,2019-11-19,15.45375,1004,-37.800575,144.964635
95,Relative Humidity,2019-11-19,67.76708333333333,1004,-37.800575,144.964635
96,Particulate Air Pollution (2.5 µm),2019-11-19,5.745833333333334,1005,-37.800629,144.965052
97,Particulate Air Pollution (10 µm),2019-11-19,28.05,1005,-37.800629,144.965052
98,Ambient Air Temperature,2019-11-19,15.445833333333333,1005,-37.800629,144.965052
99,Relative Humidity,2019-11-19,67.42083333333333,1005,-37.800629,144.965052
100,Particulate Air Pollution (2.5 µm),2019-11-20,6.095833333333334,1001,-37.800793,144.966492
101,Particulate Air Pollution (10 µm),2019-11-20,22.275000000000002,1001,-37.800793,144.966492
102,Ambient Air Temperature,2019-11-20,22.412916666666664,1001,-37.800793,144.966492
103,Relative Humidity,2019-11-20,39.35916666666667,1001,-37.800793,144.966492
104,Particulate Air Pollution (2.5 µm),2019-11-20,6.816666666666666,1002,-37.800524,144.964122
105,Particulate Air Pollution (10 µm),2019-11-20,29.425,1002,-37.800524,144.964122
106,Ambient Air Temperature,2019-11-20,22.471666666666668,1002,-37.800524,144.964122
107,Relative Humidity,2019-11-20,43.97,1002,-37.800524,144.964122
108,Particulate Air Pollution (2.5 µm),2019-11-20,5.508333333333333,1003,-37.8023,144.960923
109,Particulate Air Pollution (10 µm),2019-11-20,21.962500000000002,1003,-37.8023,144.960923
110,Ambient Air Temperature,2019-11-20,22.74291666666667,1003,-37.8023,144.960923
111,Relative Humidity,2019-11-20,44.2725,1003,-37.8023,144.960923
112,Particulate Air Pollution (2.5 µm),2019-11-20,6.016666666666667,1004,-37.800575,144.964635
113,Particulate Air Pollution (10 µm),2019-11-20,25.645833333333332,1004,-37.800575,144.964635
114,Ambient Air Temperature,2019-11-20,21.79625,1004,-37.800575,144.964635
115,Relative Humidity,2019-11-20,42.84458333333333,1004,-37.800575,144.964635
116,Particulate Air Pollution (2.5 µm),2019-11-20,4.866666666666666,1005,-37.800629,144.965052
117,Particulate Air Pollution (10 µm),2019-11-20,24.8125,1005,-37.800629,144.965052
118,Ambient Air Temperature,2019-11-20,21.429166666666664,1005,-37.800629,144.965052
119,Relative Humidity,2019-11-20,43.58375,1005,-37.800629,144.965052
120,Particulate Air Pollution (2.5 µm),2019-11-21,10.254166666666666,1001,-37.800793,144.966492
121,Particulate Air Pollution (10 µm),2019-11-21,41.550000000000004,1001,-37.800793,144.966492
122,Ambient Air Temperature,2019-11-21,26.87875,1001,-37.800793,144.966492
123,Relative Humidity,2019-11-21,28.764166666666668,1001,-37.800793,144.966492
124,Particulate Air Pollution (2.5 µm),2019-11-21,9.604166666666666,1002,-37.800524,144.964122
125,Particulate Air Pollution (10 µm),2019-11-21,43.85833333333333,1002,-37.800524,144.964122
126,Ambient Air Temperature,2019-11-21,25.6775,1002,-37.800524,144.964122
127,Relative Humidity,2019-11-21,35.288333333333334,1002,-37.800524,144.964122
128,Particulate Air Pollution (2.5 µm),2019-11-21,8.754166666666666,1003,-37.8023,144.960923
129,Particulate Air Pollution (10 µm),2019-11-21,36.458333333333336,1003,-37.8023,144.960923
130,Ambient Air Temperature,2019-11-21,26.568749999999998,1003,-37.8023,144.960923
